"FAZENDA";"PROJETO";"ESPACAMENTO";"TALHAO";"MATGEN";"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca"
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;22;6,843662553;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;24;5,411268065;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;26;3,819718634;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;28;2,06901426;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;0,1;18,14366351;8
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;0,5;16,87042397;7
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;1;15,91549431;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;1,5;15,59718442;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;2;15,27887454;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;4;14,64225476;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;6;14,00563499;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;8;13,05070533;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;10;12,41408556;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;12;11,4591559;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;14;10,02676141;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;16;8,912676813;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;18;8,276057041;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;20;6,68450761;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;22;5,888732894;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;24;4,456338407;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";14;15,91549431;26,8;26;1,273239545;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;0,1;17,50704374;7
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;0,5;16,87042397;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;1;16,55211408;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;1,5;16,07464925;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;2;15,27887454;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;4;14,64225476;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;6;13,68732511;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;8;13,05070533;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;10;12,41408556;3
